feature_set,baseline,observed_auc_delta,bootstrap_delta_lower_95,bootstrap_delta_upper_95,probability_delta_gt_zero
ALL_CAUSAL,CORE_FROZEN,-0.05777777777777782,-0.2488888888888889,0.13999999999999996,0.2766
BURST_MECHANISM,CORE_FROZEN,0.05111111111111105,-0.11333333333333334,0.2155555555555555,0.7228
