family,mode,feature_count,roc_auc_new,balanced_accuracy_new,p_permutation_new
ACCEPTANCE_REJECTION,ONLY_FAMILY,2,0.5633333333333332,0.5333333333333333,
EFFORT_RESULT,ONLY_FAMILY,2,0.5466666666666667,0.44999999999999996,
FLOW_PERSISTENCE,ONLY_FAMILY,19,0.5,0.44999999999999996,
CROSSING_ANATOMY,ONLY_FAMILY,3,0.4955555555555556,0.55,
AUCTION_CONTEXT,ONLY_FAMILY,23,0.4355555555555556,0.4833333333333333,
LEVEL_MEMORY,ONLY_FAMILY,4,0.4355555555555556,0.48333333333333334,
BURST_INTENSITY,ONLY_FAMILY,66,0.27999999999999997,0.35,
BURST_INTENSITY,WITHOUT_FAMILY,53,0.47333333333333333,0.48333333333333334,
ACCEPTANCE_REJECTION,WITHOUT_FAMILY,117,0.3577777777777778,0.4,
AUCTION_CONTEXT,WITHOUT_FAMILY,96,0.34444444444444444,0.4166666666666667,
LEVEL_MEMORY,WITHOUT_FAMILY,115,0.34,0.44999999999999996,
CROSSING_ANATOMY,WITHOUT_FAMILY,116,0.33555555555555555,0.4,
FLOW_PERSISTENCE,WITHOUT_FAMILY,100,0.31777777777777777,0.35,
EFFORT_RESULT,WITHOUT_FAMILY,117,0.31555555555555553,0.31666666666666665,
