fecha,year,BurstId,burst_side,cutoff_utc,late_received_predecision_exchange_records,eligible,exclusion_reason,attacked_side,L0,Q0,initial_order_count,F_dep,C_dep,fill_initial_depth_ratio,fill_depletion_share,ADD_qty,MODIFY_add_qty,MODIFY_remove_qty,Q_end,terminal_depth_ratio,initial_queue_survival_qty,initial_queue_survival_ratio,durable_refill_qty,durable_refill_initial_depth_ratio,queue_zero,never_ceded,ceded_terminal,zero_duration_s,longest_zero_s,committed_packets,unknown_state_rows,clear_rows,fill_without_c_qty,excluded_terminal_packet_records,base_label,low_425_label,high_575_label,information_status
2022-06-27,2022,LB_20220627_093202_SELL_0001,SELL,2022-06-27T13:32:03.009000+00:00,19,True,,B,12165.0,5.0,5,8.0,11.0,1.6,0.42105263157894735,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.730876000000017,2.428155,6187,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-07-18,2022,LB_20220718_093105_SELL_0001,SELL,2022-07-18T13:31:06.004000+00:00,0,True,,B,12095.25,3.0,1,22.0,55.0,7.333333333333333,0.2857142857142857,73.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.465904999999988,1.108826,6687,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-07-19,2022,LB_20220719_093600_SELL_0001,SELL,2022-07-19T13:36:01.015000+00:00,17,True,,B,12027.25,3.0,2,25.0,212.0,8.333333333333334,0.10548523206751055,237.0,11.0,11.0,6.0,2.0,0.0,0.0,6.0,2.0,True,False,False,0.6334970000000004,0.11155,5881,0,0,3.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-07-20,2022,LB_20220720_093414_BUY_0001,BUY,2022-07-20T13:34:15.086000+00:00,4,True,,A,12301.0,3.0,3,3.0,29.0,1.0,0.09375,38.0,5.0,4.0,10.0,3.3333333333333335,0.0,0.0,10.0,3.3333333333333335,True,False,False,0.01924600000000001,0.016761,4291,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-07-26,2022,LB_20220726_093111_SELL_0001,SELL,2022-07-26T13:31:12.026000+00:00,2,True,,B,12256.75,1.0,1,10.0,24.0,10.0,0.29411764705882354,35.0,10.0,9.0,3.0,3.0,0.0,0.0,3.0,3.0,True,False,False,0.04877900000000001,0.027904,6124,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-07-29,2022,LB_20220729_093500_SELL_0001,SELL,2022-07-29T13:35:01.099000+00:00,4,True,,B,12766.25,1.0,1,2.0,40.0,2.0,0.047619047619047616,44.0,8.0,7.0,4.0,4.0,0.0,0.0,4.0,4.0,True,False,False,0.014933000000000002,0.012199,7821,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-08-01,2022,LB_20220801_093127_SELL_0001,SELL,2022-08-01T13:31:28.101000+00:00,0,True,,B,12875.75,2.0,2,6.0,39.0,3.0,0.13333333333333333,47.0,8.0,6.0,6.0,3.0,0.0,0.0,6.0,3.0,True,False,False,0.9633050000000002,0.405707,6564,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-08-04,2022,LB_20220804_093511_BUY_0001,BUY,2022-08-04T13:35:12.032000+00:00,3,True,,A,13305.25,1.0,1,6.0,31.0,6.0,0.16216216216216217,44.0,17.0,20.0,5.0,5.0,0.0,0.0,5.0,5.0,False,True,False,0.0,0.0,5937,0,0,0.0,1,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-08-09,2022,LB_20220809_093105_SELL_0001,SELL,2022-08-09T13:31:06.048000+00:00,3,True,,B,13069.5,3.0,2,15.0,46.0,5.0,0.2459016393442623,64.0,8.0,7.0,8.0,2.6666666666666665,0.0,0.0,8.0,2.6666666666666665,True,False,False,2.6684819999999947,2.6166169999999997,10512,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-08-15,2022,LB_20220815_093300_BUY_0001,BUY,2022-08-15T13:33:01.053000+00:00,1,True,,A,13584.25,5.0,5,10.0,45.0,2.0,0.18181818181818182,47.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.503524999999984,2.6062760000000003,7815,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-08-17,2022,LB_20220817_093558_BUY_0001,BUY,2022-08-17T13:35:59.026000+00:00,0,True,,A,13561.25,1.0,1,7.0,90.0,7.0,0.07216494845360824,100.0,7.0,7.0,4.0,4.0,0.0,0.0,4.0,4.0,True,False,False,2.3573470000000016,1.870758,6690,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-08-31,2022,LB_20220831_093400_SELL_0001,SELL,2022-08-31T13:34:01.039000+00:00,0,True,,B,12428.0,3.0,3,8.0,37.0,2.6666666666666665,0.17777777777777778,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.505923999999997,1.273278,5129,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-09-01,2022,LB_20220901_093124_SELL_0002,SELL,2022-09-01T13:31:25.053000+00:00,0,True,,B,12159.0,2.0,2,14.0,83.0,7.0,0.14432989690721648,98.0,8.0,6.0,5.0,2.5,0.0,0.0,5.0,2.5,True,False,False,1.2006619999999995,0.440047,5746,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-09-06,2022,LB_20220906_093405_BUY_0001,BUY,2022-09-06T13:34:06.074000+00:00,0,True,,A,12106.25,3.0,3,11.0,45.0,3.6666666666666665,0.19642857142857142,58.0,4.0,4.0,5.0,1.6666666666666667,0.0,0.0,5.0,1.6666666666666667,True,False,False,3.826765000000002,3.163832,4937,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-09-28,2022,LB_20220928_093328_SELL_0001,SELL,2022-09-28T13:33:29.039000+00:00,3,True,,B,11296.5,1.0,1,9.0,54.0,9.0,0.14285714285714285,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.582844999999994,2.654426,3579,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-10-11,2022,LB_20221011_093101_SELL_0001,SELL,2022-10-11T13:31:02.078000+00:00,1,True,,B,10903.5,1.0,1,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.954646999999977,4.957542,6293,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-10-18,2022,LB_20221018_093155_SELL_0001,SELL,2022-10-18T13:31:56.038000+00:00,5,True,,B,11398.75,6.0,3,10.0,42.0,1.6666666666666667,0.19230769230769232,51.0,7.0,8.0,6.0,1.0,0.0,0.0,6.0,1.0,True,False,False,0.243208,0.075998,6449,0,0,2.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-10-25,2022,LB_20221025_093119_BUY_0001,BUY,2022-10-25T13:31:20.076000+00:00,0,True,,A,11552.5,1.0,1,10.0,24.0,10.0,0.29411764705882354,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.659262999999992,3.154248,4745,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-10-26,2022,LB_20221026_093108_SELL_0002,SELL,2022-10-26T13:31:09.077000+00:00,7,True,,B,11433.5,2.0,2,2.0,17.0,1.0,0.10526315789473684,21.0,1.0,0.0,5.0,2.5,0.0,0.0,5.0,2.5,True,False,False,0.015390999999999998,0.012086,6107,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-10-27,2022,LB_20221027_093628_SELL_0001,SELL,2022-10-27T13:36:29.053000+00:00,0,True,,B,11396.25,1.0,1,5.0,20.0,5.0,0.2,32.0,11.0,9.0,10.0,10.0,0.0,0.0,10.0,10.0,True,False,False,0.1737460000000001,0.161649,5207,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-10-28,2022,LB_20221028_093127_BUY_0001,BUY,2022-10-28T13:31:28.046000+00:00,0,True,,A,11253.0,2.0,1,6.0,40.0,3.0,0.13043478260869565,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5651110000000005,0.550856,5836,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2022-11-03,2022,LB_20221103_093349_BUY_0001,BUY,2022-11-03T13:33:50.021000+00:00,1,True,,A,10845.75,1.0,1,7.0,25.0,7.0,0.21875,42.0,81.0,80.0,12.0,12.0,0.0,0.0,12.0,12.0,True,False,False,0.21205400000000002,0.081854,6719,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-03-21,2023,LB_20230321_093130_BUY_0001,BUY,2023-03-21T13:31:31.049000+00:00,0,True,,A,12800.5,1.0,1,7.0,18.0,7.0,0.28,29.0,6.0,4.0,7.0,7.0,0.0,0.0,7.0,7.0,True,False,False,0.14214299999999996,0.069367,3744,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-03-28,2023,LB_20230328_093202_SELL_0001,SELL,2023-03-28T13:32:03.022000+00:00,0,True,,B,12748.5,2.0,2,12.0,42.0,6.0,0.2222222222222222,50.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.8018489999999825,3.074047,6827,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-04-03,2023,LB_20230403_093250_BUY_0001,BUY,2023-04-03T13:32:51.099000+00:00,0,True,,A,13217.5,3.0,3,8.0,50.0,2.6666666666666665,0.13793103448275862,67.0,8.0,3.0,17.0,5.666666666666667,0.0,0.0,17.0,5.666666666666667,True,False,False,1.3466519999999982,0.825377,3626,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-04-04,2023,LB_20230404_093600_SELL_0001,SELL,2023-04-04T13:36:01.053000+00:00,1,True,,B,13269.75,2.0,2,9.0,68.0,4.5,0.11688311688311688,75.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.8705619999999996,2.465097,4209,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-04-19,2023,LB_20230419_093353_SELL_0001,SELL,2023-04-19T13:33:54.064000+00:00,1,True,,B,13104.75,2.0,1,7.0,50.0,3.5,0.12280701754385964,62.0,10.0,6.0,11.0,5.5,0.0,0.0,11.0,5.5,True,False,False,0.005357,0.003609,4480,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-04-26,2023,LB_20230426_093201_SELL_0001,SELL,2023-04-26T13:32:02.055000+00:00,0,True,,B,12920.75,5.0,5,12.0,41.0,2.4,0.22641509433962265,53.0,5.0,4.0,8.0,1.6,0.0,0.0,8.0,1.6,True,False,False,1.1580929999999985,0.549701,8795,0,0,2.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-05-03,2023,LB_20230503_093500_BUY_0001,BUY,2023-05-03T13:35:01.053000+00:00,0,True,,A,13209.0,5.0,5,3.0,10.0,0.6,0.23076923076923078,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.960119000000017,4.725118,5234,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-05-11,2023,LB_20230511_093202_SELL_0001,SELL,2023-05-11T13:32:03.023000+00:00,0,True,,B,13399.25,9.0,9,45.0,264.0,5.0,0.14563106796116504,295.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,1.1631639999999996,0.537806,7724,0,0,4.0,3,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-05-18,2023,LB_20230518_093436_BUY_0001,BUY,2023-05-18T13:34:37.130000+00:00,5,True,,A,13681.0,7.0,7,39.0,92.0,5.571428571428571,0.29770992366412213,128.0,12.0,12.0,5.0,0.7142857142857143,0.0,0.0,5.0,0.7142857142857143,True,False,False,1.4850560000000008,0.476979,2771,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-05-22,2023,LB_20230522_093356_BUY_0001,BUY,2023-05-22T13:33:57.065000+00:00,0,True,,A,13875.25,7.0,7,36.0,93.0,5.142857142857143,0.27906976744186046,121.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.6052409999999826,1.824383,5678,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-05-26,2023,LB_20230526_093357_BUY_0001,BUY,2023-05-26T13:33:58.020000+00:00,0,True,,A,14044.75,2.0,2,54.0,124.0,27.0,0.30337078651685395,172.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.372171999999997,2.103198,6921,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-05-31,2023,LB_20230531_093156_BUY_0001,BUY,2023-05-31T13:31:57.052000+00:00,3,True,,A,14348.25,4.0,4,3.0,17.0,0.75,0.15,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.818398999999994,4.800091,8229,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-06-05,2023,LB_20230605_093500_BUY_0001,BUY,2023-06-05T13:35:01.036000+00:00,1,True,,A,14611.0,2.0,2,18.0,63.0,9.0,0.2222222222222222,86.0,12.0,7.0,12.0,6.0,0.0,0.0,12.0,6.0,True,False,False,0.47687600000000013,0.2094,7667,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-06-22,2023,LB_20230622_093240_BUY_0001,BUY,2023-06-22T13:32:41.030000+00:00,6,True,,A,14999.75,5.0,5,2.0,3.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.996326999999989,4.999654,7372,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-06-23,2023,LB_20230623_093159_BUY_0001,BUY,2023-06-23T13:32:00.009000+00:00,14,True,,A,15060.75,2.0,2,13.0,49.0,6.5,0.20967741935483872,54.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.065892999999995,2.381056,5374,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-06-30,2023,LB_20230630_093123_BUY_0001,BUY,2023-06-30T13:31:24.087000+00:00,3,True,,A,15258.75,2.0,2,2.0,11.0,1.0,0.15384615384615385,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.676793000000005,4.661334,6031,0,0,0.0,8,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-07-18,2023,LB_20230718_093258_SELL_0002,SELL,2023-07-18T13:32:59.057000+00:00,0,True,,B,15779.25,5.0,3,23.0,111.0,4.6,0.17164179104477612,127.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5896300000000007,0.27013,5686,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-07-20,2023,LB_20230720_093345_SELL_0001,SELL,2023-07-20T13:33:46.040000+00:00,0,True,,B,15870.0,2.0,2,6.0,20.0,3.0,0.23076923076923078,33.0,9.0,5.0,14.0,7.0,0.0,0.0,14.0,7.0,True,False,False,0.016918000000000006,0.016936,3504,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-07-27,2023,LB_20230727_093300_BUY_0001,BUY,2023-07-27T13:33:01.089000+00:00,5,True,,A,15852.0,3.0,3,14.0,11.0,4.666666666666667,0.56,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.937655999999994,3.221599,6613,0,0,1.0,1,B_BREAKOUT_LIMPIO,B_BREAKOUT_LIMPIO,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-08-08,2023,LB_20230808_093726_SELL_0001,SELL,2023-08-08T13:37:27.058000+00:00,0,True,,B,15349.75,2.0,2,6.0,10.0,3.0,0.375,22.0,5.0,4.0,9.0,4.5,0.0,0.0,9.0,4.5,True,False,False,0.000539,0.000407,3702,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-08-24,2023,LB_20230824_093139_SELL_0001,SELL,2023-08-24T13:31:40.065000+00:00,0,True,,B,15300.25,5.0,5,40.0,97.0,8.0,0.291970802919708,132.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,1.329824999999999,0.361211,5931,0,0,1.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-08-25,2023,LB_20230825_093257_BUY_0001,BUY,2023-08-25T13:32:58.084000+00:00,4,True,,A,14933.0,4.0,4,3.0,17.0,0.75,0.15,21.0,4.0,1.0,8.0,2.0,0.0,0.0,8.0,2.0,True,False,False,0.023799,0.023814,5130,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-08-29,2023,LB_20230829_093105_SELL_0001,SELL,2023-08-29T13:31:06.065000+00:00,4,True,,B,15072.0,2.0,1,4.0,2.0,2.0,0.6666666666666666,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.939123000000001,4.9415,5209,0,0,0.0,1,B_BREAKOUT_LIMPIO,B_BREAKOUT_LIMPIO,B_BREAKOUT_LIMPIO,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-08-31,2023,LB_20230831_093357_BUY_0001,BUY,2023-08-31T13:33:58.049000+00:00,0,True,,A,15551.75,4.0,4,5.0,26.0,1.25,0.16129032258064516,34.0,9.0,7.0,9.0,2.25,0.0,0.0,9.0,2.25,True,False,False,1.624438000000001,1.1362269999999999,7341,0,0,0.0,3,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-09-05,2023,LB_20230905_093500_SELL_0002,SELL,2023-09-05T13:35:01.010000+00:00,1,True,,B,15456.25,2.0,2,5.0,46.0,2.5,0.09803921568627451,50.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,1.471129000000001,1.439651,5589,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-09-07,2023,LB_20230907_093117_SELL_0001,SELL,2023-09-07T13:31:18.033000+00:00,0,True,,B,15181.0,3.0,3,7.0,13.0,2.3333333333333335,0.35,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,4.974428000000004,4.117331,8595,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
2023-09-14,2023,LB_20230914_093127_SELL_0001,SELL,2023-09-14T13:31:28.062000+00:00,7,True,,B,15602.25,5.0,5,17.0,48.0,3.4,0.26153846153846155,61.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,3.915631999999997,3.112344,8068,0,0,0.0,1,C_VARIABLE,C_VARIABLE,C_VARIABLE,MECHANICAL_OUTCOME_ONLY_NEVER_PREDICTOR
