month,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,max_w_streak,max_l_streak
2022-04,4,50.0,0.6375,-7.25,-29.0,60.0,17.5,21.25,0.6375,41.4356931481382,2,1
2022-05,10,70.0,2.7666666666666666,10.6,106.0,20.0,20.0,14.0,1.1857142857142857,21.479706184624078,4,1
2022-06,8,75.0,2.925,19.25,154.0,60.0,31.875,14.375,0.975,39.87390840422558,3,1
2022-07,8,50.0,1.2307692307692308,2.625,21.0,60.0,16.875,14.375,1.2307692307692308,27.536663870971317,3,2
2022-08,3,33.33333333333333,0.75,-3.3333333333333335,-10.0,40.0,11.666666666666666,18.333333333333332,1.5,28.86751345948129,1,2
2022-09,3,33.33333333333333,0.65,-4.666666666666667,-14.0,20.0,15.0,16.666666666666668,1.3,26.558112382722786,1,1
2022-10,6,33.33333333333333,0.3333333333333333,-13.333333333333334,-80.0,100.0,8.333333333333334,20.833333333333332,0.6666666666666666,30.11090610836324,1,2
2022-11,1,100.0,inf,60.0,60.0,-60.0,60.0,20.0,nan,nan,1,0
2023-03,1,0.0,0.0,-41.0,-41.0,41.0,10.0,45.0,nan,nan,0,1
2023-06,3,100.0,inf,20.0,60.0,-20.0,20.0,11.666666666666666,nan,0.0,3,0
2023-08,1,100.0,inf,20.0,20.0,-20.0,20.0,5.0,nan,nan,1,0
2023-09,1,100.0,inf,20.0,20.0,-20.0,20.0,5.0,nan,nan,1,0
2023-10,1,100.0,inf,20.0,20.0,-20.0,20.0,5.0,nan,nan,1,0
2024-04,1,0.0,0.0,-20.0,-20.0,20.0,15.0,20.0,nan,nan,0,1
2024-06,1,100.0,inf,60.0,60.0,-60.0,60.0,25.0,nan,nan,1,0
2024-07,2,100.0,inf,20.0,40.0,-20.0,20.0,0.0,nan,0.0,2,0
2024-08,3,33.33333333333333,0.42857142857142855,-13.333333333333334,-40.0,70.0,18.333333333333332,28.333333333333332,0.8571428571428571,39.10669166949991,1,2
2024-09,3,33.33333333333333,0.7560975609756098,-3.3333333333333335,-10.0,21.0,15.0,18.333333333333332,1.5121951219512195,29.737742572921256,1,1
2024-10,4,75.0,4.6,18.0,72.0,20.0,28.75,8.75,1.5333333333333334,26.43230346879868,3,1
2025-03,6,33.33333333333333,0.35714285714285715,-15.0,-90.0,120.0,12.5,26.666666666666668,0.5357142857142857,38.8587184554509,1,2
2025-04,6,50.0,0.8571428571428571,-3.3333333333333335,-20.0,140.0,30.833333333333332,37.5,0.8571428571428572,50.859282994028405,3,3
2025-05,5,100.0,inf,30.0,150.0,-20.0,30.0,8.0,nan,17.320508075688775,5,0
2025-06,5,100.0,inf,40.4,202.0,-20.0,44.0,8.0,nan,15.582040944625964,5,0
2025-07,2,100.0,inf,43.0,86.0,-26.0,45.0,12.5,nan,24.041630560342615,2,0
2025-08,3,100.0,inf,26.666666666666668,80.0,-20.0,26.666666666666668,26.666666666666668,nan,5.773502691896257,3,0
2025-09,5,60.0,2.525,12.2,61.0,20.0,26.0,25.0,1.6833333333333331,31.45155004129367,1,1
2025-10,8,75.0,3.2209302325581395,23.875,191.0,60.0,40.0,22.5,1.073643410852713,48.80409087068712,4,1
2026-03,6,83.33333333333334,2.7,17.0,102.0,60.0,38.333333333333336,18.333333333333332,0.5399999999999999,40.615268065100835,3,1
2026-04,10,40.0,0.8024691358024691,-3.2,-32.0,82.0,17.5,18.5,1.2037037037037037,34.76844035104888,2,4
2026-05,11,81.81818181818183,7.95,25.272727272727273,278.0,20.0,31.363636363636363,17.272727272727273,1.7666666666666668,27.004040101773324,4,1
2026-06,10,70.0,2.1,11.0,110.0,60.0,23.0,17.0,0.8999999999999999,34.46415206816755,5,2
2026-07,3,33.33333333333333,0.7,-8.0,-24.0,60.0,26.666666666666668,36.666666666666664,1.4,58.92367945062494,1,1
