rule,high_cut,low_cut,trades,profit_usd,expectancy_usd,dd_usd,pf,test_expectancy_usd,test_dd_usd,avg_contracts,c1,c3,c4,risk_score
top 10% -> 4c | mid -> 3c | bottom 10% -> 1c,9.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 10% -> 4c | mid -> 3c | bottom 20% -> 1c,9.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 10% -> 4c | mid -> 3c | bottom 30% -> 1c,9.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 10% -> 4c | mid -> 3c | bottom 40% -> 1c,9.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 20% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 20% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 20% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 20% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 30% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 30% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 30% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 30% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 40% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 40% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 40% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
top 40% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,144,14555.0,101.07638888888889,1200.0,2.4679778113968736,117.125,1200.0,1.4375,123,0,21,0.872998206215543
