feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
Previous_Delta_AtEntry,38,75,120.6842105263158,162.5,255.7465072296603,-226.79999999999998,-29.25,247.0,463.5000000000001,26.08,23.0,252.03516271195824,-268.59999999999997,-117.0,183.5,304.8,0.37351878539163536,0.2536842105263158,0.6607017543859648,0.028238400723519182,0.004090351715753242,0.06591892167512994,0.06330449825318687,0.06196901549225387,-1.4189561403508704,197.01328070175438,1.0,0.9936212449330889,0.2536842105263158
price_impact_per_100_contracts,38,75,1.0391283918215926,0.8444230666452889,0.65649149136046,0.4443391048350881,0.6258503401360545,1.241327905510005,1.8268161496039765,1.2445557467395965,1.0781671159029649,0.8016967674472314,0.3276781599104537,0.7286192068800764,1.6228849825531635,2.270906788073803,-0.2715861147302461,-0.17894736842105263,0.6743859649122806,0.12192458810899784,0.03791404260374963,0.14897030093826655,0.17535030438606442,0.17391304347826086,-0.46047783032668094,0.061158207625944684,1.0,0.9936212449330889,0.17894736842105263
Score_AtEntry,38,75,9.973684210526315,10.0,1.1024994234297238,8.7,9.0,11.0,11.0,9.48,10.0,1.388757951785929,8.0,9.0,11.0,11.0,0.3796521793783757,0.17859649122807017,0.8487719298245614,0.11063405104131015,0.5490913063399399,0.04272659529382475,0.05915244323730955,0.07096451774112944,0.053140350877192474,0.9557982456140357,1.0,0.9936212449330889,0.17859649122807017
OR_WidthTicks,38,75,19.157894736842106,17.5,7.179273153714603,11.7,14.25,22.0,29.300000000000004,21.48,20.0,8.23696349194092,12.4,15.0,26.5,32.0,-0.29393180345349973,-0.15859649122807018,0.8501754385964911,0.16995214876649933,0.45914034219897637,0.12627031827809307,0.14273553960699886,0.1489255372313843,-5.197701754385966,0.5965087719298237,1.0,0.9936212449330889,0.15859649122807018
range,38,75,95.78947368421052,87.5,35.89636576857301,58.5,71.25,110.0,146.50000000000003,107.4,100.0,41.184817459704604,62.0,75.0,132.5,160.0,-0.29393180345350006,-0.15859649122807018,0.8501754385964911,0.16995214876649933,0.45914034219897637,0.12627031827809249,0.14273553960699895,0.13143428285857073,-25.9021052631579,2.7182894736841474,1.0,0.9936212449330889,0.15859649122807018
signed_acceleration_1s,38,75,2.289473684210526,2.0,1.6424749738821909,0.0,1.0,3.0,4.0,3.2666666666666666,3.0,3.488720563640942,-0.5999999999999996,1.0,5.0,6.0,-0.325489580162936,-0.15824561403508772,0.7164912280701753,0.16774416511004075,0.21672523060670673,0.0454610496962037,0.10495894776620061,0.10944527736131934,-1.935271929824561,-0.025500000000000744,1.0,0.9936212449330889,0.15824561403508772
liquidity_absorption_score,38,75,65.63245614035088,44.33333333333333,89.17781170959421,12.32,26.775,72.80000000000001,124.23000000000002,70.38579365079364,31.733333333333334,131.0869278156808,7.5616666666666665,17.075,60.400000000000006,148.68,-0.040020746105828765,0.156140350877193,0.9224561403508772,0.17725958671182485,0.36816877103490175,0.8208646503331144,0.8410764132780224,0.8440779610194903,-45.353025097465895,35.113922869674155,1.0,0.9936212449330889,0.156140350877193
absorption_pressure_1s,38,75,84.11929824561403,63.333333333333336,87.19367387981421,26.583333333333332,46.3125,91.0,147.3,87.83495154553049,52.0,128.081640638885,26.36,34.5625,79.25,165.20000000000002,-0.03201383361153435,0.15368421052631578,0.9357894736842105,0.18419104228194916,0.21672523060670673,0.8562870744990952,0.872562167486304,0.8950524737631185,-41.84911769005849,36.487762294625455,1.0,0.9936212449330889,0.15368421052631578
burst_efficiency_score,38,75,0.018419177437017063,0.015796474891918856,0.011274205446881668,0.006788931788931789,0.010990017400860884,0.021595353117092247,0.03762541806020068,0.02180602634175268,0.019230769230769232,0.014164643051296735,0.006053482221569204,0.012633508688028056,0.02893772893772894,0.037938357343741035,-0.2552010573737857,-0.15333333333333332,0.8371929824561404,0.1851878729833344,0.21672523060670673,0.17086291284685615,0.20264007438416953,0.19290354822588707,-0.008323513475801394,0.0012023813429015862,1.0,0.9936212449330889,0.15333333333333332
directional_poc_distance,38,75,15.0,13.0,6.881231819329396,7.7,10.0,19.75,25.300000000000004,12.493333333333334,13.0,9.757011800714361,2.0,8.0,16.0,24.0,0.2815769061079346,0.15087719298245614,0.8610526315789474,0.1915733165239255,0.703079557934666,0.11717563521041834,0.16013114566274694,0.16541729135432284,-0.5264824561403499,5.6754561403508745,1.0,0.9936212449330889,0.15087719298245614
