feature,permutation_q_bh,mann_whitney_q_bh,cliffs_delta_A_minus_B,abs_cliffs_delta,overlap_coefficient,catboost,catboost_incremental_shap,catboost_permutation,conditional_mutual_information_proxy,decision_tree,decision_tree_permutation,logistic,logistic_permutation,logistic_validation_ablation,mutual_information,random_forest,random_forest_permutation,discovery_direction_A_minus_B,discovery_threshold_mid_medians,monte_carlo_bootstrap_direction_stability,gaussian_noise_5pct_direction_stability,validation_n_A,validation_n_B,validation_direction_A_minus_B,validation_B_detectable_pct,validation_A_lost_pct,holdout_n_A,holdout_n_B,holdout_direction_A_minus_B,holdout_B_detectable_pct,holdout_A_lost_pct,direction_stable_discovery_validation_holdout,evidence_score,robust_candidate
Previous_Delta_AtEntry,0.9936212449330889,1.0,0.2536842105263158,0.2536842105263158,0.6607017543859648,19.255821085562363,0.4372976854739384,-0.007670454545454527,0.017090068904652297,0.31890192372639375,0.05596590909090908,0.33772163372257785,0.07732954545454539,0.07670454545454536,0.06817660998573416,0.1579347484368259,-0.0172727272727273,1.0,92.75,0.99,1.0,16.0,22.0,1.0,81.81818181818183,75.0,20.0,18.0,-1.0,50.0,80.0,0.0,0.0005490488391794762,0
price_impact_per_100_contracts,0.9936212449330889,1.0,-0.17894736842105263,0.17894736842105263,0.6743859649122806,12.340264375936727,0.3070222022576993,-0.021534090909090895,0.060480900132495304,0.21737418422238733,-0.004431818181818195,0.1805387770095398,0.0051136363636363055,0.0,0.0040488853480609155,0.10043728606510027,-0.026875000000000013,-1.0,0.9612950912741269,0.972,1.0,16.0,22.0,1.0,86.36363636363636,100.0,20.0,18.0,-1.0,66.66666666666666,55.00000000000001,0.0,0.00037167586310467055,0
signed_acceleration_1s,0.9936212449330889,1.0,-0.15824561403508772,0.15824561403508772,0.7164912280701753,9.398760293646578,0.20272221366583218,-0.007272727272727267,0.0663307911620156,0.0,0.0,0.2708009444291867,0.013352272727272678,0.05397727272727265,0.057882970984730164,0.09209844224733015,0.0034659090909090785,-1.0,2.5,0.712,1.0,16.0,22.0,0.0,63.63636363636363,68.75,20.0,18.0,-1.0,55.55555555555556,45.0,0.0,0.00028617659297296914,0
BuySellRatio,0.9936212449330889,1.0,0.12736842105263158,0.12736842105263158,0.7122807017543861,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002337581081214845,0
Delta_Change_AtEntry,0.9936212449330889,1.0,-0.12982456140350876,0.12982456140350876,0.7284210526315789,10.38461733209457,0.13986439551594237,-0.002272727272727271,0.04763134888975059,0.0,0.0,0.3136478692874066,0.021534090909090853,-0.03125,0.0,0.08651311802592987,0.01505681818181816,,,,,,,,,,,,,,,,0.0002248997077330873,0
Score_AtEntry,0.9936212449330889,1.0,0.17859649122807017,0.17859649122807017,0.8487719298245614,5.90183182469028,0.1055030525755085,-0.004999999999999996,0.0395179503461187,0.1497875348132083,0.025397727272727256,0.1804235692268243,0.021988636363636304,0.031249999999999944,0.0030015059820971413,0.03465183647156911,0.0033522727272727072,0.0,10.0,,,16.0,22.0,0.0,,,20.0,18.0,1.0,,,0.0,0.0001722825371282106,0
signed_velocity_decay_1_5,0.9936212449330889,1.0,0.11473684210526315,0.11473684210526315,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016101320684687177,0
burst_efficiency_score,0.9936212449330889,1.0,-0.15333333333333332,0.15333333333333332,0.8371929824561404,5.1704850469139325,0.0724379642000381,-0.0013636363636363624,0.021801984860549385,0.0,0.0,0.2910831849892113,0.010397727272727213,0.0,0.0,0.08456630972456729,-0.033750000000000016,-1.0,0.017513622061344044,0.879,1.0,16.0,22.0,-1.0,81.81818181818183,93.75,20.0,18.0,-1.0,72.22222222222221,55.00000000000001,1.0,0.00015923760017327545,0
OR_WidthTicks,0.9936212449330889,1.0,-0.15859649122807018,0.15859649122807018,0.8501754385964911,4.062863464053543,0.06802501551301002,-0.022272727272727253,0.04008401478174291,0.0,0.0,0.08835055423988,-0.024261363636363713,0.0,0.0,0.0465357871268874,-0.017840909090909095,-1.0,18.75,0.841,1.0,16.0,22.0,1.0,72.72727272727273,87.5,20.0,18.0,-1.0,94.44444444444444,85.0,0.0,0.00015156974366686498,0
range,0.9936212449330889,1.0,-0.15859649122807018,0.15859649122807018,0.8501754385964911,3.043126536676125,0.05283223882630751,-0.022272727272727253,0.04008401478174291,0.0,0.0,0.08835055423988018,-0.024261363636363713,0.0,0.0,0.04916127535289879,-0.02625,-1.0,93.75,0.81,1.0,16.0,22.0,1.0,72.72727272727273,87.5,20.0,18.0,-1.0,94.44444444444444,85.0,0.0,0.00015156974366686498,0
TradesPerSecond,0.9936212449330889,1.0,0.10035087719298245,0.10035087719298245,0.7814035087719298,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013992660145424274,0
vwap_poc_spread_ticks,0.9936212449330889,1.0,-0.12,0.12,0.8207017543859649,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013724395112385567,0
Cumulative_Delta_AtEntry,0.9936212449330889,1.0,0.0856140350877193,0.0856140350877193,0.7526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001350906059230591,0
month_index,0.9936212449330889,1.0,-0.11614035087719299,0.11614035087719299,0.8192982456140351,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013386943459292103,0
directional_poc_distance,0.9936212449330889,1.0,0.15087719298245614,0.15087719298245614,0.8610526315789474,9.69972254964002,0.21456240034512847,-0.006647727272727252,0.03754708560600256,0.12580735376660668,0.01852272727272725,0.5906325187130951,0.006818181818181771,-0.045454545454545525,0.008712216117586102,0.11965521990930424,-0.03534090909090914,0.0,13.0,,,16.0,22.0,-1.0,,,20.0,18.0,-1.0,,,0.0,0.00013372415054399778,0
delta_persistence_1_3,0.9936212449330889,1.0,0.08385964912280702,0.08385964912280702,0.7687719298245613,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012368855669973107,0
Dist_LVN_Ticks,0.9936212449330889,1.0,-0.10842105263157895,0.10842105263157895,0.8228070175438595,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012254513196874648,0
execution_cvd_alignment,0.9936212449330889,1.0,-0.1375438596491228,0.1375438596491228,0.8624561403508773,3.9748747838234784,0.16932801272261222,-0.007272727272727267,0.0,0.0,0.0,0.3064873394519178,0.06715909090909084,0.07102272727272718,0.050152749671602326,0.018720138102188547,0.0,,,,,,,,,,,,,,,,0.00012067528699314582,0
Volume_AtEntry,0.9936212449330889,1.0,-0.10666666666666667,0.10666666666666667,0.832280701754386,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011411630117365171,0
signed_velocity_1s,0.9936212449330889,1.0,-0.12947368421052632,0.12947368421052632,0.8663157894736843,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011040723867060197,0
Dist_OR_Low_Ticks,0.9936212449330889,1.0,-0.0943859649122807,0.0943859649122807,0.8340350877192984,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.992165693426498e-05,0
Dist_HVN_Ticks,0.9936212449330889,1.0,-0.08,0.08,0.807719298245614,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8120920046801e-05,0
delta_share_of_volume,0.9936212449330889,1.0,-0.06912280701754386,0.06912280701754386,0.7807017543859649,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.669242445225355e-05,0
distance_nearest_profile_reference_ticks,0.9936212449330889,1.0,-0.10105263157894737,0.10105263157894737,0.8771929824561404,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.916017368355047e-05,0
Dist_OR_High_Ticks,0.9936212449330889,1.0,-0.07228070175438596,0.07228070175438596,0.8315789473684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.765236085148286e-05,0
Dist_VWAP_Ticks,0.9936212449330889,1.0,-0.06385964912280702,0.06385964912280702,0.8094736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.760995361558097e-05,0
liquidity_absorption_score,0.9936212449330889,1.0,0.156140350877193,0.156140350877193,0.9224561403508772,10.973048621842121,0.12545294434867804,-0.0018181818181818167,0.02356598045652345,0.18812900347140385,0.06000000000000001,0.19026504084062587,0.02352272727272723,0.0,0.041387321248443465,0.11511188450445897,-4.440892098500626e-18,1.0,38.03333333333333,0.898,0.998,16.0,22.0,1.0,77.27272727272727,81.25,20.0,18.0,1.0,72.22222222222221,55.00000000000001,1.0,7.723221508838071e-05,0
DeltaChangeZScore,0.9936212449330889,1.0,0.07368421052631578,0.07368421052631578,0.836140350877193,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.701625231295435e-05,0
directional_vwap_distance,0.9936212449330889,1.0,0.06947368421052631,0.06947368421052631,0.8266666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.681363996364525e-05,0
mean_trade_size,0.9936212449330889,1.0,0.05543859649122807,0.05543859649122807,0.7943859649122806,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.271113254972795e-05,0
Delta2s,0.9936212449330889,1.0,-0.04631578947368421,0.04631578947368421,0.7543859649122806,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.256349254325467e-05,0
acceleration_velocity_ratio,0.9936212449330889,1.0,-0.08596491228070176,0.08596491228070176,0.8842105263157893,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.349305597534788e-05,0
absorption_pressure_1s,0.9936212449330889,1.0,0.15368421052631578,0.15368421052631578,0.9357894736842105,5.794584085120249,0.07379978488377335,-0.0018181818181818167,0.02268842147052405,0.0,0.0,0.17126130000760634,0.01568181818181814,0.0,0.0,0.09461395403293954,-0.04437500000000003,1.0,57.66666666666667,0.868,1.0,16.0,22.0,1.0,81.81818181818183,93.75,20.0,18.0,1.0,72.22222222222221,60.0,1.0,6.29464738237233e-05,0
DeltaChange1s,0.9936212449330889,1.0,0.03298245614035088,0.03298245614035088,0.7301754385964911,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.676758248897951e-05,0
Dist_POC_Ticks,0.9936212449330889,1.0,-0.06771929824561404,0.06771929824561404,0.8712280701754386,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.562494307717825e-05,0
signed_velocity_3s,0.9936212449330889,1.0,-0.06456140350877193,0.06456140350877193,0.8726315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.245303889555264e-05,0
PeakNegativeDelta,0.9936212449330889,1.0,0.045263157894736845,0.045263157894736845,0.823859649122807,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0855699676581016e-05,0
signed_delta_change_1s,0.9936212449330889,1.0,-0.039649122807017545,0.039649122807017545,0.8063157894736841,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.898506938179712e-05,0
delta_persistence_3_5,0.9936212449330889,1.0,-0.04280701754385965,0.04280701754385965,0.8245614035087718,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.790447018548198e-05,0
seconds_from_open,0.9936212449330889,1.0,0.04175438596491228,0.04175438596491228,0.8319298245614034,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.476397877119113e-05,0
minute_from_open,0.9936212449330889,1.0,0.04175438596491228,0.04175438596491228,0.8319298245614034,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.476397877119113e-05,0
PeakPositiveDelta,0.9936212449330889,1.0,0.03684210526315789,0.03684210526315789,0.8185964912280701,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2631051869162115e-05,0
BreakOut_TICKS_PER_SEC_AtEntry,0.9936212449330889,1.0,0.08385964912280702,0.08385964912280702,0.9217543859649122,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1855156515994004e-05,0
ContractsPerSecond,0.9936212449330889,1.0,0.05403508771929825,0.05403508771929825,0.8852631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9547103436073806e-05,0
or_position_fraction,0.9936212449330889,1.0,-0.03543859649122807,0.03543859649122807,0.8319298245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79929567721874e-05,0
DeltaPercentile,0.9936212449330889,1.0,0.05017543859649123,0.05017543859649123,0.8922807017543859,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.447629746906303e-05,0
weekday_index,0.9936212449330889,1.0,0.02736842105263158,0.02736842105263158,0.8094736842105265,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3261408692391824e-05,0
Velocity5s,0.9936212449330889,1.0,-0.019649122807017545,0.019649122807017545,0.743859649122807,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21038482161066e-05,0
distance_nearest_or_edge_ticks,0.9936212449330889,1.0,-0.02912280701754386,0.02912280701754386,0.8480701754385964,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.822358613108257e-05,0
Delta_AtEntry,0.9936212449330889,1.0,-0.017894736842105262,0.017894736842105262,0.7540350877192983,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8075946124609262e-05,0
Delta5s,0.9936212449330889,1.0,0.025964912280701753,0.025964912280701753,0.8452631578947369,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5628106230049462e-05,0
Body_AtEntry,0.9936212449330889,1.0,-0.02245614035087719,0.02245614035087719,0.8357894736842106,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.352188018025499e-05,0
Dist_VAL_Ticks,0.9936212449330889,1.0,-0.021403508771929824,0.021403508771929824,0.8459649122807018,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1030062411426572e-05,0
Previous_Volume_AtEntry,0.9936212449330889,1.0,0.014385964912280702,0.014385964912280702,0.8077192982456141,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.764455141192473e-05,0
Sell_Imbalance_Count_AtEntry,0.9936212449330889,1.0,0.020350877192982456,0.020350877192982456,0.8782456140350876,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5805333884475584e-05,0
Acceleration3s,0.9936212449330889,1.0,-0.018947368421052633,0.018947368421052633,0.8726315789473683,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.539382663239046e-05,0
Delta10s,0.9936212449330889,1.0,-0.016140350877192983,0.016140350877192983,0.8642105263157897,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3980252102327027e-05,0
signed_delta_1s,0.9936212449330889,1.0,0.011228070175438596,0.011228070175438596,0.8080701754385964,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3746226985683223e-05,0
Velocity1s,0.9936212449330889,1.0,-0.011929824561403509,0.011929824561403509,0.8371929824561404,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2389195436822348e-05,0
TicksPerSecond,0.9936212449330889,1.0,-0.011929824561403509,0.011929824561403509,0.8371929824561404,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2389195436822348e-05,0
profile_confluence_4t,0.9936212449330889,1.0,-0.029473684210526315,0.029473684210526315,0.950877192982456,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.235353596414255e-06,0
Acceleration1s,0.9936212449330889,1.0,-0.007368421052631579,0.007368421052631579,0.8094736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95499464795165e-06,0
Dist_VAH_Ticks,0.9936212449330889,1.0,-0.00631578947368421,0.00631578947368421,0.7940350877192982,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.297682491472171e-06,0
execution_side_sign,0.9936212449330889,1.0,-0.03298245614035088,0.03298245614035088,0.9670175438596491,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93908030424457e-06,0
