feature,method,importance,split
OR_WidthTicks,random_forest_permutation,0.01671052631578952,validation
range,random_forest_permutation,0.013223684210526346,validation
Previous_Delta_AtEntry,catboost,22.5447927706614,discovery
absorption_pressure_1s,catboost,5.949567556139783,discovery
burst_efficiency_score,catboost,7.230461407125761,discovery
price_impact_per_100_contracts,catboost,11.189671822509538,discovery
liquidity_absorption_score,catboost,9.611777958403291,discovery
signed_velocity_1s,catboost,1.7588854645646326,discovery
mean_trade_size,catboost,11.034163806587628,discovery
signed_acceleration_1s,catboost,13.042894665737736,discovery
Score_AtEntry,catboost,3.751086080480585,discovery
signed_velocity_decay_1_5,catboost,6.463140217842476,discovery
OR_WidthTicks,catboost,4.609019673908014,discovery
range,catboost,2.814538576039155,discovery
Previous_Delta_AtEntry,catboost_incremental_shap,0.5722488840354838,discovery
absorption_pressure_1s,catboost_incremental_shap,0.09574945562858923,discovery
burst_efficiency_score,catboost_incremental_shap,0.11736795577124767,discovery
price_impact_per_100_contracts,catboost_incremental_shap,0.2735003851810936,discovery
liquidity_absorption_score,catboost_incremental_shap,0.17122396951051966,discovery
signed_velocity_1s,catboost_incremental_shap,0.048790982278760484,discovery
mean_trade_size,catboost_incremental_shap,0.19198120089847895,discovery
signed_acceleration_1s,catboost_incremental_shap,0.2826814212536647,discovery
Score_AtEntry,catboost_incremental_shap,0.10089512823854069,discovery
signed_velocity_decay_1_5,catboost_incremental_shap,0.1364959481954237,discovery
OR_WidthTicks,catboost_incremental_shap,0.07308612132382837,discovery
range,catboost_incremental_shap,0.04297746001686762,discovery
Previous_Delta_AtEntry,catboost_permutation,-0.02434210526315796,validation
absorption_pressure_1s,catboost_permutation,-0.008947368421052666,validation
burst_efficiency_score,catboost_permutation,0.00421052631578946,validation
price_impact_per_100_contracts,catboost_permutation,-0.010888157894736907,validation
liquidity_absorption_score,catboost_permutation,0.024736842105263078,validation
signed_velocity_1s,catboost_permutation,-0.007894736842105288,validation
mean_trade_size,catboost_permutation,-0.006348684210526384,validation
signed_acceleration_1s,catboost_permutation,0.01825657894736837,validation
Score_AtEntry,catboost_permutation,0.0007236842105263119,validation
signed_velocity_decay_1_5,catboost_permutation,0.009473684210526266,validation
OR_WidthTicks,catboost_permutation,0.013157894736842061,validation
range,catboost_permutation,0.0031578947368420952,validation
