fecha,prediction_timestamp,split,born_bad_group,born_bad_reason,Result_Label,realized_ticks_for_label,MFE_ticks,MAE_ticks,Trade_Duration,Entry_price,ExecutionSide,canonical_source_file,causal_row_flag,Delta1s,Delta2s,Delta3s,Delta5s,Delta10s,PeakPositiveDelta,PeakNegativeDelta,DeltaChange1s,DeltaChangeZScore,DeltaPercentile,BuySellRatio,TradesPerSecond,ContractsPerSecond,Velocity1s,Velocity3s,Velocity5s,Acceleration1s,Acceleration3s,TicksPerSecond,CumulativeDeltaWindow,OR_WidthTicks,Dist_OR_High_Ticks,Dist_OR_Low_Ticks,Dist_VWAP_Ticks,Dist_POC_Ticks,Dist_VAH_Ticks,Dist_VAL_Ticks,Dist_HVN_Ticks,Dist_LVN_Ticks,range,Body_AtEntry,Volume_AtEntry,Delta_AtEntry,Cumulative_Delta_AtEntry,Previous_Volume_AtEntry,Previous_Delta_AtEntry,Delta_Change_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,Score_AtEntry,Buy_Imbalance_Count_AtEntry,Sell_Imbalance_Count_AtEntry,signed_delta_1s,signed_delta_change_1s,signed_velocity_1s,signed_velocity_3s,signed_acceleration_1s,price_impact_per_100_contracts,absorption_pressure_1s,delta_share_of_volume,mean_trade_size,delta_persistence_1_3,delta_persistence_3_5,direction_consistency,velocity_consistency,flow_price_alignment,acceleration_velocity_ratio,directional_vwap_distance,directional_poc_distance,profile_confluence_4t,burst_efficiency_score,liquidity_absorption_score,seconds_from_open,minute_from_open,weekday_index,month_index,execution_side_sign,or_position_fraction,distance_nearest_or_edge_ticks,distance_nearest_profile_reference_ticks,vwap_poc_spread_ticks,signed_velocity_decay_1_5,signed_delta_decay_1_5,execution_cvd_alignment
2022-05-25,2022-05-25 13:35:12.108000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,35,00:45,11781.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-25_NY.csv,True,-182,-176,-302,-374,-373,20,-182,-188,-6.546671774255782,1.0,0.137440758293839,96,240,-4,-0.666666666666667,-1.4,-5,0.0,-4,-302,34.0,24.0,58.0,19.738269330416255,-2,-9,29,2,0,170,0,1180,-284,538,2315,-277,-7,0.0,10,1,1,182.0,188.0,4.0,0.666666666666667,5.0,1.6666666666666667,45.5,0.7583333333333333,2.5,0.5531135531135531,0.743046357615894,1.0,1.0,1,1.25,-19.738269330416255,2.0,3,0.02197802197802198,27.3,312,5.2,2,5,1.0,1.7058823529411764,24.0,0,21.738269330416255,-2.6,-107.2,1.0
2022-05-27,2022-05-27 13:31:01.006000+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:28,12437.5,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-27_NY.csv,True,146,164,173,266,380,146,-3,128,3.699491650282806,1.0,2.896103896103896,284,300,6,3.0,1.8,4,2.0,6,173,22.0,6.0,28.0,17.70169374351884,24,14,27,0,1,110,35,302,148,3237,5485,401,-253,34.79,9,0,0,146.0,128.0,6.0,3.0,4.0,2.0,24.333333333333332,0.4866666666666667,1.056338028169014,0.3949771689497717,0.922543352601156,1.0,1.0,1,0.6666666666666666,17.70169374351884,24.0,2,0.0410958904109589,9.733333333333334,61,1.0166666666666666,4,5,-1.0,1.2727272727272727,6.0,0,6.298306256481158,-4.2,-92.8,-1.0
2022-06-08,2022-06-08 13:31:03.007000+00:00,discovery,C_LOSER_MFE_3_TO_30,Perdedor con 2 < MFE <= 30 ticks,SL,-62.0,10,60,01:31,12648.75,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-08_NY.csv,True,-260,-275,-338,-336,-388,2,-260,-245,-7.325721496600189,1.0,0.380952380952381,520,580,-5,-3.333333333333333,-2.0,-4,-1.666666666666667,-5,-338,22.0,-31.0,-9.0,-17.69067723591246,-25,-29,-14,-3,2,110,50,760,-340,459,5044,-12,-328,16.63,9,0,0,260.0,245.0,5.0,3.333333333333333,4.0,0.8620689655172413,52.0,0.4482758620689655,1.1153846153846154,0.43333333333333335,0.5964497041420118,1.0,1.0,1,0.8,17.69067723591246,25.0,2,0.019230769230769232,26.0,63,1.05,2,6,1.0,-0.4090909090909091,9.0,2,7.30932276408754,-3.0,-192.8,1.0
2022-06-13,2022-06-13 13:31:08.000000100+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:06,11537.5,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-13_NY.csv,True,-110,-134,-152,-179,-136,32,-110,-86,-2.772291249350366,0.970149253731343,0.246575342465753,178,182,0,-1.333333333333333,-0.6,2,0.333333333333333,0,-152,32.0,3.0,35.0,16.555668221456095,10,-5,26,-1,1,160,15,779,-145,1195,4153,287,-432,1.87,7,0,0,110.0,86.0,-0.0,1.333333333333333,-2.0,0.0,440.0,0.6043956043956044,1.0224719101123596,0.46060606060606063,0.7065789473684211,1.0,0.6666666666666666,0,-8.0,-16.555668221456095,-10.0,2,-0.0,440.0,68,1.1333333333333333,0,6,1.0,1.09375,3.0,1,6.555668221456095,0.6,-74.2,1.0
2022-06-27,2022-06-27 13:32:03.009000+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:09,12166.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-27_NY.csv,True,-121,-143,-156,-163,-228,4,-121,-99,-2.831692053299826,0.983606557377049,0.238993710691824,171,197,-6,-2.666666666666667,-1.4,-4,-2.666666666666667,-6,-156,30.0,-36.0,-6.0,-20.23932426091037,-19,-27,-6,0,-1,150,35,360,-158,-156,3858,-168,10,11.63,8,0,0,121.0,99.0,6.0,2.666666666666667,4.0,3.045685279187817,20.166666666666668,0.6142131979695431,1.152046783625731,0.4297520661157025,0.6269230769230769,1.0,1.0,1,0.6666666666666666,20.23932426091037,19.0,2,0.049586776859504134,8.066666666666668,123,2.05,0,6,1.0,-0.2,6.0,0,1.2393242609103687,-4.6,-88.4,-1.0
2022-07-07,2022-07-07 13:33:46.097000+00:00,discovery,C_LOSER_MFE_3_TO_30,Perdedor con 2 < MFE <= 30 ticks,SL,-62.0,15,60,00:31,11961.25,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-07_NY.csv,True,166,192,202,261,332,166,-6,140,4.605528133103445,0.995555555555556,3.0,198,332,1,1.333333333333333,1.0,1,0.666666666666667,1,202,31.0,3.0,34.0,15.746072719227081,17,7,21,1,-1,155,15,2716,584,1686,2823,-401,985,0.33,11,1,0,166.0,140.0,1.0,1.333333333333333,1.0,0.30120481927710846,166.0,0.5,1.6767676767676767,0.40562248995983935,0.7752475247524753,1.0,1.0,1,1.0,15.746072719227081,17.0,2,0.006024096385542169,149.4,226,3.7666666666666666,3,7,-1.0,1.096774193548387,3.0,1,1.2539272807729187,-0.0,-113.8,-1.0
2022-07-18,2022-07-18 13:31:06.004000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,25,00:23,12096.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-18_NY.csv,True,-155,-161,-168,-313,-359,12,-155,-149,-3.869194418414485,0.969230769230769,0.323144104803493,278,303,-7,-1.666666666666667,-2.2,-8,-1.333333333333333,-7,-168,19.0,-27.0,-8.0,-15.38871923836896,-19,-25,-11,0,1,95,40,871,-335,-910,4697,-145,-190,6.66,11,0,1,155.0,149.0,7.0,1.666666666666667,8.0,2.31023102310231,22.142857142857142,0.5115511551155115,1.089928057553957,0.36129032258064514,1.1178571428571429,1.0,1.0,1,1.1428571428571428,15.38871923836896,19.0,2,0.04516129032258064,6.642857142857144,66,1.1,0,7,1.0,-0.42105263157894735,8.0,0,3.61128076163104,-4.8,-92.4,-1.0
2022-07-19,2022-07-19 13:36:01.015000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,28.0,55,40,00:58,12028.75,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-19_NY.csv,True,-253,-244,-241,-253,-238,27,-253,-262,-9.636030067139112,1.0,0.478350515463918,557,717,-9,-2.0,-1.2,-13,-3.0,-9,-241,27.0,-42.0,-15.0,-22.28642257818459,-21,-34,-15,-1,1,135,45,720,-252,987,3025,-213,-39,44.33,8,0,1,253.0,262.0,9.0,2.0,13.0,1.2552301255230125,28.11111111111111,0.3528591352859135,1.2872531418312387,0.31752305665349145,0.6298755186721992,1.0,1.0,1,1.4444444444444444,22.28642257818459,21.0,2,0.03557312252964427,2.8111111111111104,361,6.016666666666667,1,7,1.0,-0.5555555555555556,15.0,1,1.2864225781845917,-7.8,-202.4,1.0
2022-07-20,2022-07-20 13:34:15.086000+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,03:17,12301.25,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-20_NY.csv,True,183,182,184,193,191,183,-8,184,6.70349633598793,1.0,4.893617021276596,153,277,2,0.666666666666667,0.8,2,0.666666666666667,2,184,29.0,2.0,31.0,16.17698300283286,23,9,30,-1,0,145,10,1153,323,2991,3113,133,190,0.66,10,0,0,183.0,184.0,2.0,0.666666666666667,2.0,0.7220216606498195,91.5,0.6606498194945848,1.8104575163398693,0.33515482695810567,0.6293478260869565,1.0,1.0,1,1.0,16.17698300283286,23.0,2,0.01092896174863388,73.2,255,4.25,2,7,-1.0,1.0689655172413792,2.0,0,6.823016997167141,-1.2,-144.4,-1.0
2022-07-26,2022-07-26 13:31:12.001000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,50,00:39,12257.5,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-26_NY.csv,True,-158,-158,-158,-299,-275,75,-158,-158,-3.729761784772416,0.985915492957746,0.193877551020408,210,234,-8,-3.0,-3.6,-6,-1.0,-8,-158,17.0,-27.0,-10.0,-16.459016393442624,-13,-21,-12,-3,1,85,50,1282,-278,-682,5063,-7,-271,4.17,10,0,0,158.0,158.0,8.0,3.0,6.0,3.4188034188034186,19.75,0.6752136752136753,1.1142857142857143,0.3333333333333333,1.1354430379746836,1.0,1.0,1,0.75,16.459016393442624,13.0,2,0.05063291139240506,3.9499999999999993,72,1.2,1,7,1.0,-0.5882352941176471,10.0,1,3.4590163934426243,-4.4,-98.2,-1.0
