setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
cvd=Excelente | TP=100 SL=50,cvd=Excelente,100,50,342,74.85380116959064,2.9152303904326415,15.921052631578947,5445.0,160.0,27.280701754385966,15.90643274853801,0.9793352092859655,32.9477889833099,105,5.4100346020761245,24.276190476190475,237,2.278587196467991,12.219409282700422,39,2.942442803098541,0.889627822479606,0.7639313267914107,0.21171775752680277,0.4349897873283275,4,459.8654511018536
cvd=Excelente | TP=120 SL=50,cvd=Excelente,120,50,342,74.85380116959064,2.9138234259584945,15.909356725146198,5441.0,160.0,27.280701754385966,15.90643274853801,0.9788625571579317,32.91855184983035,105,5.403114186851211,24.238095238095237,237,2.278587196467991,12.219409282700422,39,2.942442803098541,0.8896390845466041,0.7638543938322205,0.21171775752680277,0.4349897873283275,4,459.32477788786207
cvd=Excelente | TP=150 SL=50,cvd=Excelente,150,50,342,74.85380116959064,2.9138234259584945,15.909356725146198,5441.0,160.0,27.280701754385966,15.90643274853801,0.9788625571579317,32.91855184983035,105,5.403114186851211,24.238095238095237,237,2.278587196467991,12.219409282700422,39,2.942442803098541,0.8896390845466041,0.7638543938322205,0.21171775752680277,0.4349897873283275,4,459.32477788786207
cvd=Excelente | TP=200 SL=50,cvd=Excelente,200,50,342,74.85380116959064,2.9138234259584945,15.909356725146198,5441.0,160.0,27.280701754385966,15.90643274853801,0.9788625571579317,32.91855184983035,105,5.403114186851211,24.238095238095237,237,2.278587196467991,12.219409282700422,39,2.942442803098541,0.8896390845466041,0.7638543938322205,0.21171775752680277,0.4349897873283275,4,459.32477788786207
cvd=Excelente | TP=80 SL=50,cvd=Excelente,80,50,342,74.85380116959064,2.907140344706296,15.853801169590643,5422.0,160.0,27.280701754385966,15.90643274853801,0.9766174595497713,32.791561126453104,105,5.3633217993079585,24.01904761904762,237,2.280353200883002,12.236286919831224,39,2.942442803098541,0.8803484859228147,0.763556305187061,0.21171775752680277,0.4349897873283275,4,456.7439423166155
cvd=Excelente | TP=100 SL=40,cvd=Excelente,100,40,342,73.68421052631578,3.024141833270464,15.690058479532164,5366.0,120.0,27.280701754385966,15.90643274853801,1.0800506547394515,31.02969659800611,105,4.275449101796407,20.83809523809524,237,2.6026222894604136,13.40928270042194,39,3.0,0.6960289110823945,0.7224865633975963,0.21328249974647187,0.4349897873283275,2,494.70101908478193
cvd=Excelente | actual,cvd=Excelente,,,342,75.43859649122807,2.764473684210526,15.68421052631579,5364.0,219.0,27.280701754385966,15.90643274853801,0.9000611995104039,34.59560660395659,105,5.8083941605839415,25.095238095238095,237,2.095104333868379,11.514767932489452,39,2.9508196721311477,0.9249055370688077,0.7878514096100391,0.21151920750468398,0.4349897873283275,5,418.48496194885377
cvd=Excelente | TP=120 SL=40,cvd=Excelente,120,40,342,73.68421052631578,3.02263296869106,15.678362573099415,5362.0,120.0,27.280701754385966,15.90643274853801,1.0795117745325213,30.998563011015857,105,4.269461077844311,20.8,237,2.6026222894604136,13.40928270042194,39,3.0,0.696365556600878,0.7227755376329483,0.21328249974647187,0.4349897873283275,2,494.005128960489
cvd=Excelente | TP=150 SL=40,cvd=Excelente,150,40,342,73.68421052631578,3.02263296869106,15.678362573099415,5362.0,120.0,27.280701754385966,15.90643274853801,1.0795117745325213,30.998563011015857,105,4.269461077844311,20.8,237,2.6026222894604136,13.40928270042194,39,3.0,0.696365556600878,0.7227755376329483,0.21328249974647187,0.4349897873283275,2,494.005128960489
cvd=Excelente | TP=200 SL=40,cvd=Excelente,200,40,342,73.68421052631578,3.02263296869106,15.678362573099415,5362.0,120.0,27.280701754385966,15.90643274853801,1.0795117745325213,30.998563011015857,105,4.269461077844311,20.8,237,2.6026222894604136,13.40928270042194,39,3.0,0.696365556600878,0.7227755376329483,0.21328249974647187,0.4349897873283275,2,494.005128960489
cvd=Excelente | TP=80 SL=40,cvd=Excelente,80,40,342,73.68421052631578,3.019615239532252,15.654970760233919,5354.0,120.0,27.280701754385966,15.90643274853801,1.0784340141186615,30.93618853612768,105,4.251497005988024,20.685714285714287,237,2.6046394351991933,13.426160337552743,39,3.0,0.700007595316454,0.7246710151364659,0.21328249974647187,0.4349897873283275,2,492.2496748773061
cvd=Excelente | TP=60 SL=50,cvd=Excelente,60,50,342,74.85380116959064,2.8821667252901864,15.646198830409357,5351.0,160.0,27.280701754385966,15.90643274853801,0.968227884277172,32.43482931455264,105,5.262975778546712,23.466666666666665,237,2.274613686534216,12.181434599156118,39,2.942442803098541,0.8604719929807906,0.7719909637644885,0.21171775752680277,0.4349897873283275,4,444.87991104706975
cvd=Excelente | TP=60 SL=70,cvd=Excelente,60,70,342,75.73099415204678,2.760962743158589,15.616959064327485,5341.0,219.0,27.280701754385966,15.90643274853801,0.8847872883481193,34.25584358983304,105,5.187290969899665,23.847619047619048,237,2.1650924024640656,11.970464135021096,39,2.801650970817347,0.9065089466964424,0.7910953343028271,0.21371277056903001,0.4349897873283275,5,415.45797812119906
cvd=Excelente | TP=60 SL=80,cvd=Excelente,60,80,342,75.73099415204678,2.755511681474169,15.599415204678362,5335.0,219.0,27.280701754385966,15.90643274853801,0.8830404230206796,34.30474603943355,105,5.1019736842105265,23.752380952380953,237,2.1686548745372276,11.987341772151899,39,2.801650970817347,0.9092168842049012,0.7910379187593398,0.21371277056903001,0.4349897873283275,5,414.18431784566155
cvd=Excelente | TP=100 SL=60,cvd=Excelente,100,60,342,75.43859649122807,2.7360885128538888,15.599415204678362,5335.0,219.0,27.280701754385966,15.90643274853801,0.890819515812894,34.76532636903578,105,5.420068027210885,24.752380952380953,237,2.1010060362173038,11.544303797468354,39,2.9508196721311477,0.9086737577323913,0.7880048946013112,0.21151920750468398,0.4349897873283275,5,411.9157577023214
cvd=Excelente | TP=120 SL=60,cvd=Excelente,120,60,342,75.43859649122807,2.7347868532378783,15.587719298245615,5331.0,219.0,27.280701754385966,15.90643274853801,0.890395719658844,34.73751040015304,105,5.413265306122449,24.714285714285715,237,2.1010060362173038,11.544303797468354,39,2.9508196721311477,0.9088894615256279,0.7880049589550879,0.21151920750468398,0.4349897873283275,5,411.4110867780514
cvd=Excelente | TP=150 SL=60,cvd=Excelente,150,60,342,75.43859649122807,2.7347868532378783,15.587719298245615,5331.0,219.0,27.280701754385966,15.90643274853801,0.890395719658844,34.73751040015304,105,5.413265306122449,24.714285714285715,237,2.1010060362173038,11.544303797468354,39,2.9508196721311477,0.9088894615256279,0.7880049589550879,0.21151920750468398,0.4349897873283275,5,411.4110867780514
cvd=Excelente | TP=200 SL=60,cvd=Excelente,200,60,342,75.43859649122807,2.7347868532378783,15.587719298245615,5331.0,219.0,27.280701754385966,15.90643274853801,0.890395719658844,34.73751040015304,105,5.413265306122449,24.714285714285715,237,2.1010060362173038,11.544303797468354,39,2.9508196721311477,0.9088894615256279,0.7880049589550879,0.21151920750468398,0.4349897873283275,5,411.4110867780514
cvd=Excelente | TP=60 SL=100,cvd=Excelente,60,100,342,75.73099415204678,2.7374959136972867,15.54093567251462,5315.0,219.0,27.280701754385966,15.90643274853801,0.8772670302582039,34.48476763908885,105,4.939490445859873,23.561904761904763,237,2.1686548745372276,11.987341772151899,39,2.801650970817347,0.9150342980275451,0.7921839432249307,0.21371277056903001,0.4349897873283275,5,409.68915671175074
cvd=Excelente | TP=100 SL=70,cvd=Excelente,100,70,342,75.43859649122807,2.717517776341306,15.538011695906432,5314.0,219.0,27.280701754385966,15.90643274853801,0.8847732295064716,34.90737663926695,105,5.329431438127091,24.65714285714286,237,2.0917467948717947,11.49789029535865,39,2.9508196721311477,0.9127470683196008,0.789887886540055,0.21151920750468398,0.4349897873283275,5,407.10949071967053
cvd=Excelente | TP=80 SL=60,cvd=Excelente,80,60,342,75.43859649122807,2.7286039700618288,15.532163742690058,5312.0,219.0,27.280701754385966,15.90643274853801,0.888382687927107,34.61667534190387,105,5.374149659863946,24.495238095238093,237,2.10261569416499,11.561181434599156,39,2.9508196721311477,0.8998598719366044,0.7879780993717256,0.21151920750468398,0.4349897873283275,5,409.02371183789563
cvd=Excelente | TP=120 SL=70,cvd=Excelente,120,70,342,75.43859649122807,2.7162249515190693,15.526315789473685,5310.0,219.0,27.280701754385966,15.90643274853801,0.8843523097969062,34.879653303025826,105,5.322742474916388,24.61904761904762,237,2.0917467948717947,11.49789029535865,39,2.9508196721311477,0.9129613750606287,0.7898878506451501,0.21151920750468398,0.4349897873283275,5,406.6095239336979
