rule,high_cut,low_cut,trades,profit_usd,expectancy_usd,dd_usd,pf,test_expectancy_usd,test_dd_usd,avg_contracts,c1,c3,c4,risk_score
top 10% -> 4c | mid -> 3c | bottom 30% -> 1c,9.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 10% -> 4c | mid -> 3c | bottom 40% -> 1c,9.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 20% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 20% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 30% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 30% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 40% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 40% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,342,34210.0,100.02923976608187,1895.0,2.6626974483596597,144.1904761904762,405.0,1.3421052631578947,303,0,39,3.64817953196069
top 10% -> 4c | mid -> 3c | bottom 10% -> 1c,9.0,6.0,342,72020.0,210.58479532163742,1900.0,2.886080921827943,276.1904761904762,1200.0,2.7514619883040936,62,241,39,2.3584251762922883
top 10% -> 4c | mid -> 3c | bottom 20% -> 1c,9.0,7.0,342,69820.0,204.15204678362574,1900.0,2.929528810280503,269.8095238095238,1200.0,2.652046783625731,79,224,39,2.3039374222193287
top 20% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,6.0,342,89825.0,262.64619883040933,2400.0,2.953141987388563,339.0,1600.0,3.4064327485380117,62,17,263,2.1710726935376896
top 30% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,6.0,342,89825.0,262.64619883040933,2400.0,2.953141987388563,339.0,1600.0,3.4064327485380117,62,17,263,2.1710726935376896
top 40% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,6.0,342,89825.0,262.64619883040933,2400.0,2.953141987388563,339.0,1600.0,3.4064327485380117,62,17,263,2.1710726935376896
top 20% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,7.0,342,87625.0,256.2134502923977,2400.0,2.9919299840872924,332.6190476190476,1600.0,3.307017543859649,79,0,263,2.1302068779829697
top 30% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,7.0,342,87625.0,256.2134502923977,2400.0,2.9919299840872924,332.6190476190476,1600.0,3.307017543859649,79,0,263,2.1302068779829697
top 40% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,7.0,342,87625.0,256.2134502923977,2400.0,2.9919299840872924,332.6190476190476,1600.0,3.307017543859649,79,0,263,2.1302068779829697
