iter	Logloss
113	0.6064120385
114	0.6061155258
115	0.605351848
116	0.6046800183
117	0.604097231
118	0.6026036909
119	0.6021278627
120	0.6014732607
121	0.6007064327
122	0.6002919843
123	0.5996097196
124	0.5987819056
125	0.5981571321
126	0.5975626299
127	0.5970419607
128	0.5966335666
129	0.5958735804
130	0.5950548726
131	0.5946500717
132	0.5939739596
133	0.592949455
134	0.5926033266
135	0.5922136861
136	0.5919503489
137	0.5911220427
138	0.5904451432
139	0.5901036416
140	0.5893431633
141	0.5888120097
142	0.5883652718
143	0.5870432208
144	0.5862659577
145	0.5856057936
146	0.5851567422
147	0.5840937461
148	0.5836552774
149	0.5831982028
150	0.582523912
151	0.5820591588
152	0.5813612415
153	0.5808359946
154	0.580533083
155	0.5801619991
156	0.5794642787
157	0.5787805373
158	0.5782399824
159	0.5776761947
160	0.5770740632
161	0.5766584827
162	0.5760073754
163	0.5755410471
164	0.5748277726
165	0.5742736816
166	0.5735717281
167	0.5726384317
168	0.5718491093
169	0.5706684728
170	0.5705434984
171	0.5701276225
172	0.5698484359
173	0.5692078129
174	0.5686274375
175	0.5682066887
176	0.567679276
177	0.5668517082
178	0.5665774438
179	0.5660984655
180	0.5657374228
181	0.5651876634
182	0.5648045694
183	0.564191609
184	0.5634665212
185	0.5630151072
186	0.5623561244
187	0.5616509714
188	0.5612951955
189	0.5607051726
190	0.5603402415
191	0.5600062216
192	0.5594252063
193	0.5592340777
194	0.5584349109
195	0.5575966127
196	0.5566606091
197	0.5560514881
198	0.5547748197
199	0.554472991
200	0.5537337272
201	0.5534285022
202	0.5532283168
203	0.5521671418
204	0.5512945852
205	0.5506615916
206	0.5504018476
207	0.5499672182
208	0.5488043508
209	0.5484733335
210	0.5478400446
211	0.5473932082
212	0.5464090655
213	0.5454578523
214	0.5448479437
215	0.5442770189
216	0.5434355705
217	0.542733174
218	0.5423777426
219	0.5416826802
220	0.5411917902
221	0.5400049025
222	0.5395785916
223	0.539278781
224	0.5384949715
225	0.5383231871
226	0.5380184051
227	0.5374668244
228	0.5365643901
229	0.5353232107
230	0.5345832086
231	0.534121901
232	0.5340106595
233	0.5331976121
234	0.5325861285
235	0.5317176081
236	0.5302197856
237	0.5296605756
238	0.5287226031
239	0.5282999346
240	0.528106148
241	0.527870129
242	0.5275461012
243	0.5269823628
244	0.5261154667
245	0.5255708756
246	0.5247706259
247	0.5243959488
248	0.5239082583
249	0.5232354441
250	0.5227028631
251	0.522210841
252	0.5218064831
253	0.5212618428
254	0.5200780069
255	0.5197136664
256	0.5193960867
257	0.5187144618
258	0.5184660881
259	0.5177068403
260	0.5164143224
261	0.5157454952
262	0.5151994275
263	0.5145663354
264	0.5143887428
265	0.5136236375
266	0.5122314453
267	0.5120614329
268	0.5113554432
269	0.5104112194
270	0.5096442438
271	0.5090584047
272	0.5087140483
273	0.5083809145
274	0.5079571139
275	0.507234438
276	0.5069064725
277	0.5060070899
278	0.505522205
279	0.5049673265
280	0.5041445332
281	0.5034462221
282	0.5023958268
283	0.5014692245
284	0.5004991101
285	0.5000775737
286	0.4990068005
287	0.4986523536
288	0.4978229646
289	0.4969131962
290	0.4962095199
291	0.4952619983
292	0.4941053329
293	0.4934737667
294	0.4932012743
295	0.4926163704
296	0.4921000819
297	0.491237665
298	0.4902861072
299	0.4899344167
300	0.4895206574
301	0.4893645256
302	0.4890829763
303	0.4886072959
304	0.4881920107
305	0.487424592
306	0.4867454283
307	0.4860592258
308	0.4850992018
309	0.4846596502
310	0.4839998799
311	0.4831660117
312	0.482520811
313	0.4819519535
314	0.4808460359
315	0.480039978
316	0.4792151666
317	0.4783536849
318	0.4774892499
319	0.4765725413
320	0.4756977697
321	0.4751586914
322	0.4749219833
323	0.47449203
324	0.4737856957
325	0.4728830645
326	0.472352354
327	0.4719043363
328	0.4713345435
329	0.4708148587
330	0.4705035794
331	0.4700519193
332	0.4697570801
333	0.4694071124
334	0.4686055829
335	0.46825025
336	0.4676750921
337	0.4668524465
338	0.466426874
339	0.4655813402
340	0.4647449616
341	0.4645374913
342	0.4638833323
343	0.4633429743
344	0.462806111
345	0.4620504072
346	0.4610172395
347	0.4605740455
348	0.4596517747
349	0.459471278
350	0.4589722172
351	0.4583119054
352	0.4574053364
353	0.4566448089
354	0.4562734788
355	0.4558230492
356	0.4553308302
357	0.4546570316
358	0.4538590954
359	0.4532708445
360	0.4529216151
361	0.4522201538
362	0.4515724428
363	0.4506479571
364	0.4502774146
365	0.449868233
366	0.4491420623
367	0.4489396618
368	0.448658211
369	0.4483500327
370	0.4476159373
371	0.4467643492
372	0.4454616424
373	0.4452349263
374	0.444542571
375	0.4442761821
376	0.4437974991
377	0.4432632939
378	0.4424611245
379	0.4417002032
380	0.4413790795
381	0.4407211304
382	0.4403528521
383	0.4399062126
384	0.4397470782
385	0.4386968305
386	0.4384971373
387	0.4380878079
388	0.4377029911
389	0.437339635
390	0.4371438303
391	0.4363802018
392	0.4359212568
393	0.4354356335
394	0.4352663102
395	0.4348149946
396	0.4343221357
397	0.4334068544
398	0.4326851137
399	0.431901255
