fecha,window_start_utc,window_end_utc_exclusive,orientation,p0,event_count,positive_excursion_ticks,adverse_excursion_ticks,push_exists,push_ordinal_in_window,sequence_B_exists,sequence_A_exists,sequence_B_max_dwell_s,sequence_A_max_dwell_s
2022-04-05,2022-04-05T13:30:35+00:00,2022-04-05T13:30:40+00:00,MINUS,15116.25,241,22.0,17.0,True,113.0,True,False,0.72096523,0.0
2022-04-05,2022-04-05T13:30:40+00:00,2022-04-05T13:30:45+00:00,PLUS,15111.25,232,8.0,37.0,True,39.0,False,True,0.0,2.326110383
2022-04-05,2022-04-05T13:30:40+00:00,2022-04-05T13:30:45+00:00,MINUS,15111.25,232,37.0,8.0,True,2.0,True,True,1.815178055,0.088130394
2022-04-05,2022-04-05T13:30:45+00:00,2022-04-05T13:30:50+00:00,PLUS,15105.5,204,18.0,14.0,True,137.0,True,False,0.25573145,0.0
2022-04-05,2022-04-05T13:30:45+00:00,2022-04-05T13:30:50+00:00,MINUS,15105.5,204,14.0,18.0,True,8.0,False,True,0.0,1.676642703
2022-04-05,2022-04-05T13:30:50+00:00,2022-04-05T13:30:55+00:00,PLUS,15108.25,251,43.0,7.0,True,21.0,True,False,4.205442248,0.0
2022-04-05,2022-04-05T13:30:50+00:00,2022-04-05T13:30:55+00:00,MINUS,15108.25,251,7.0,43.0,True,8.0,False,True,0.0,4.527493777
2022-04-05,2022-04-05T13:30:55+00:00,2022-04-05T13:31:00+00:00,PLUS,15111.75,125,0.0,29.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:30:55+00:00,2022-04-05T13:31:00+00:00,MINUS,15111.75,125,29.0,0.0,True,13.0,True,False,3.503950729,0.0
2022-04-06,2022-04-06T13:29:00+00:00,2022-04-06T13:29:05+00:00,PLUS,14596.25,34,0.0,8.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:00+00:00,2022-04-06T13:29:05+00:00,MINUS,14596.25,34,8.0,0.0,True,6.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:05+00:00,2022-04-06T13:29:10+00:00,PLUS,14595.25,25,1.0,4.0,False,,False,False,0.0,0.0
