request_id,BurstId,fecha,year,burst_side,resolved_raw_symbol,outcome_file,decision_utc,p0_ts_event,p0_price_databento,p0_lag_ms,atas_decision_price,atas_databento_p0_abs_ticks,post_t_match_events,base_label,low_85_label,high_115_label,tau_push,tau_A,tau_B,max_directional_ticks,min_directional_ticks,record_ordinal_unique,used_match_events_closed,used_match_events_single_ts_event,maybe_bad_book_zero,sequence_regressions_zero,double_decode_deterministic,p0_within_prior_100ms,post_trade_available,contract_single,contract_symbol_match,atas_databento_p0_within_2_ticks,information_status
NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001,LB_20220608_093102_SELL_0001,2022-06-08,2022,SELL,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001_PAD100MS.mbo.dbn.zst,2022-06-08T13:31:03.007000+00:00,2022-06-08T13:31:03.006993241+00:00,12646.75,0.006,12648.75,8.0,358,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,C_VARIABLE,2022-06-08T13:31:03.155593929+00:00,2022-06-08T13:31:06.921244580+00:00,,18.0,-16.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001,LB_20220627_093202_SELL_0001,2022-06-27,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001_PAD100MS.mbo.dbn.zst,2022-06-27T13:32:03.009000+00:00,2022-06-27T13:32:03.008424397+00:00,12165.0,0.575,12166.25,5.0,284,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-06-27T13:32:03.379331039+00:00,,,23.0,-7.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001,LB_20220718_093105_SELL_0001,2022-07-18,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-18T13:31:06.004000+00:00,2022-07-18T13:31:06.003660609+00:00,12095.5,0.339,12096.25,3.0,324,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-07-18T13:31:06.105257399+00:00,,,12.0,-7.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001,LB_20220719_093600_SELL_0001,2022-07-19,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-19T13:36:01.015000+00:00,2022-07-19T13:36:01.014845465+00:00,12026.75,0.154,12028.75,8.0,252,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,-0.0,-17.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001,LB_20220720_093414_BUY_0001,2022-07-20,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001_PAD100MS.mbo.dbn.zst,2022-07-20T13:34:15.086000+00:00,2022-07-20T13:34:15.085291103+00:00,12300.5,0.708,12301.25,3.0,198,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,3.0,-29.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-07-26_LB_20220726_093111_SELL_0001,LB_20220726_093111_SELL_0001,2022-07-26,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-26_LB_20220726_093111_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-26T13:31:12.026000+00:00,2022-07-26T13:31:12.000602619+00:00,12257.0,25.397,12257.5,2.0,263,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,C_VARIABLE,2022-07-26T13:31:12.056122841+00:00,2022-07-26T13:31:14.969731222+00:00,,7.0,-16.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-07-29_LB_20220729_093500_SELL_0001,LB_20220729_093500_SELL_0001,2022-07-29,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-29_LB_20220729_093500_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-29T13:35:01.099000+00:00,2022-07-29T13:35:01.098944761+00:00,12766.5,0.055,12767.5,4.0,312,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,1.0,-21.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-08-01_LB_20220801_093127_SELL_0001,LB_20220801_093127_SELL_0001,2022-08-01,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-01_LB_20220801_093127_SELL_0001_PAD100MS.mbo.dbn.zst,2022-08-01T13:31:28.101000+00:00,2022-08-01T13:31:28.045336863+00:00,12876.5,55.663,12876.25,1.0,237,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,C_VARIABLE,2022-08-01T13:31:29.109701653+00:00,2022-08-01T13:31:30.264017900+00:00,,7.0,-32.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-08-04_LB_20220804_093511_BUY_0001,LB_20220804_093511_BUY_0001,2022-08-04,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-04_LB_20220804_093511_BUY_0001_PAD100MS.mbo.dbn.zst,2022-08-04T13:35:12.032000+00:00,2022-08-04T13:35:12.031929309+00:00,13304.75,0.06999999999999999,13305.0,1.0,247,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,2.0,-18.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-08-09_LB_20220809_093105_SELL_0001,LB_20220809_093105_SELL_0001,2022-08-09,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-09_LB_20220809_093105_SELL_0001_PAD100MS.mbo.dbn.zst,2022-08-09T13:31:06.048000+00:00,2022-08-09T13:31:06.024965383+00:00,13070.5,23.034,13072.5,8.0,491,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-08-09T13:31:06.125228171+00:00,,,26.0,-11.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
